rna	seed	sample	cif_path	rmsd	is_of3_top
17RA	1181241943	10	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1181241943/17RA_motif_test_seed_1181241943_sample_10_model.cif	1.245	1
17RA	1181241943	1	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1181241943/17RA_motif_test_seed_1181241943_sample_1_model.cif	1.119	0
17RA	1181241943	2	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1181241943/17RA_motif_test_seed_1181241943_sample_2_model.cif	1.294	0
17RA	1181241943	3	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1181241943/17RA_motif_test_seed_1181241943_sample_3_model.cif	1.465	0
17RA	1181241943	4	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1181241943/17RA_motif_test_seed_1181241943_sample_4_model.cif	1.654	0
17RA	1181241943	5	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1181241943/17RA_motif_test_seed_1181241943_sample_5_model.cif	1.158	0
17RA	1181241943	6	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1181241943/17RA_motif_test_seed_1181241943_sample_6_model.cif	1.397	0
17RA	1181241943	7	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1181241943/17RA_motif_test_seed_1181241943_sample_7_model.cif	1.136	0
17RA	1181241943	8	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1181241943/17RA_motif_test_seed_1181241943_sample_8_model.cif	2.052	0
17RA	1181241943	9	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1181241943/17RA_motif_test_seed_1181241943_sample_9_model.cif	0.879	0
17RA	1812140441	10	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1812140441/17RA_motif_test_seed_1812140441_sample_10_model.cif	1.044	0
