RNA	Length	Baseline_RMSD	Aware_MSA_RMSD	Delta	Winner
1JTJ	23	3.370	2.413	-0.957	AWARE
1KKA	17	2.727	3.760	+1.033	BASELINE
1KKS	24	1.698	1.768	+0.070	BASELINE
1KOG	37	3.813	3.825	+0.012	BASELINE
1KP7	30	0.875	1.466	+0.591	BASELINE
1KXK	70	6.072	6.201	+0.129	BASELINE
1L1C	29	1.696	1.283	-0.413	AWARE
1L1W	29	0.659	0.632	-0.027	AWARE
1L8V	157	3.793	14.297	+10.504	BASELINE
1L9A	126	4.317	2.968	-1.349	AWARE
1LDZ	30	3.102	3.304	+0.202	BASELINE
1LNG	97	1.777	1.646	-0.131	AWARE
1LU3	17	0.691	0.645	-0.046	AWARE
1LUU	17	2.168	2.567	+0.399	BASELINE
1LUX	17	1.801	2.360	+0.559	BASELINE
1LVJ	31	2.149	3.089	+0.940	BASELINE
1M5L	38	2.436	2.693	+0.257	BASELINE
1M82	25	0.977	1.005	+0.028	BASELINE
1ME1	12	2.455	2.493	+0.038	BASELINE
1MFK	23	1.262	1.228	-0.034	AWARE
1MFY	31	1.882	2.024	+0.142	BASELINE
1MJI	34	3.743	5.039	+1.296	BASELINE
1MNB	28	2.420	2.318	-0.102	AWARE
1MNX	42	2.341	2.104	-0.237	AWARE
1MSY	27	0.724	0.749	+0.025	BASELINE
1MT4	24	0.421	0.449	+0.028	BASELINE
1N66	22	0.891	0.956	+0.065	BASELINE
1N8X	36	1.124	1.228	+0.104	BASELINE
1NA2	30	0.871	1.453	+0.582	BASELINE
1NBK	34	1.442	1.298	-0.144	AWARE
1NBR	29	1.364	1.667	+0.303	BASELINE
1NC0	24	1.040	1.440	+0.400	BASELINE
1NEM	23	1.981	1.656	-0.325	AWARE
1NYB	24	0.613	0.649	+0.036	BASELINE
1NYI	24	7.753	7.735	-0.018	AWARE
1O15	34	1.546	2.192	+0.646	BASELINE
1OB5	76	2.101	2.111	+0.010	BASELINE
1OLN	58	5.269	5.491	+0.222	BASELINE
1OOA	29	3.980	3.657	-0.323	AWARE
1OQ0	15	1.628	1.833	+0.205	BASELINE
1OW9	23	0.987	1.012	+0.025	BASELINE
1P5M	55	3.365	3.798	+0.433	BASELINE
1PJY	22	0.896	0.870	-0.026	AWARE
1Q29	24	7.804	7.866	+0.062	BASELINE
1Q75	15	0.896	0.891	-0.005	AWARE
1Q8N	38	4.073	5.262	+1.189	BASELINE
1Q93	27	0.317	0.328	+0.011	BASELINE
1Q96	27	0.281	0.281	+0.000	TIE
1QC8	25	1.841	1.792	-0.049	AWARE
1QD3	29	2.530	2.899	+0.369	BASELINE
1QF6	76	4.004	3.930	-0.074	AWARE
1QFQ	15	0.812	1.093	+0.281	BASELINE
1QU2	75	2.769	2.765	-0.004	AWARE
1QU3	75	2.734	2.734	+0.000	TIE
1QWA	21	1.128	1.368	+0.240	BASELINE
1QWB	26	3.542	3.334	-0.208	AWARE
1QZW	47	3.205	3.150	-0.055	AWARE
1R2P	34	2.905	4.040	+1.135	BASELINE
1R3E	17	2.047	2.052	+0.005	BASELINE
1R4H	10	0.551	0.658	+0.107	BASELINE
1R7W	34	2.414	1.798	-0.616	AWARE
1R7Z	34	1.962	2.981	+1.019	BASELINE
1RAW	37	5.010	5.140	+0.130	BASELINE
1RFR	30	1.247	1.505	+0.258	BASELINE
1RHT	24	2.834	3.220	+0.386	BASELINE
1RKJ	21	4.770	4.854	+0.084	BASELINE
1RLG	25	0.668	0.613	-0.055	AWARE
1ROQ	14	0.439	0.437	-0.002	AWARE
1RY1	128	2.048	2.921	+0.873	BASELINE
1S03	47	2.587	2.481	-0.106	AWARE
1S2F	23	0.850	1.082	+0.232	BASELINE
1S34	23	1.504	1.410	-0.094	AWARE
1SCL	29	4.682	4.749	+0.067	BASELINE
1SJF	74	6.518	4.816	-1.702	AWARE
1SLO	19	1.093	1.144	+0.051	BASELINE
1SLP	19	1.022	1.275	+0.253	BASELINE
1SYZ	24	2.340	2.559	+0.219	BASELINE
1SZ1	76	2.397	2.590	+0.193	BASELINE
1T28	34	3.414	3.319	-0.095	AWARE
1T4L	32	4.906	4.709	-0.197	AWARE
1TBK	17	1.443	1.615	+0.172	BASELINE
1TFN	24	1.391	1.278	-0.113	AWARE
1TJZ	22	1.335	1.355	+0.020	BASELINE
1TLR	23	1.840	1.648	-0.192	AWARE
1TOB	27	2.008	1.731	-0.277	AWARE
1TXS	38	2.166	2.407	+0.241	BASELINE
1U0B	74	5.193	5.268	+0.075	BASELINE
1U1Y	17	3.581	2.541	-1.040	AWARE
1U2A	20	1.043	1.183	+0.140	BASELINE
1U3K	38	3.941	4.326	+0.385	BASELINE
1U63	49	2.765	3.633	+0.868	BASELINE
1U6B	197	6.341	7.825	+1.484	BASELINE
1ULL	35	2.556	2.417	-0.139	AWARE
1UN6	61	1.426	2.746	+1.320	BASELINE
1URN	21	2.165	2.589	+0.424	BASELINE
1UTS	29	4.434	4.596	+0.162	BASELINE
1UUD	29	2.579	2.846	+0.267	BASELINE
1UUI	29	2.641	2.733	+0.092	BASELINE
1UUU	19	0.917	1.389	+0.472	BASELINE
1VBZ	73	6.295	4.740	-1.555	AWARE
1VC5	70	2.345	3.225	+0.880	BASELINE
1VFG	34	1.627	1.747	+0.120	BASELINE
1VOP	13	0.406	0.392	-0.014	AWARE
1WKS	17	0.403	0.432	+0.029	BASELINE
1WSU	22	1.264	1.062	-0.202	AWARE
1WTT	14	1.570	1.633	+0.063	BASELINE
1WZ2	88	4.125	4.059	-0.066	AWARE
1XPF	23	2.987	3.597	+0.610	BASELINE
1XSG	27	0.758	0.687	-0.071	AWARE
1XSH	27	1.108	1.211	+0.103	BASELINE
1XSU	27	0.557	0.542	-0.015	AWARE
1XWP	15	0.576	0.570	-0.006	AWARE
1XWU	16	0.578	0.586	+0.008	BASELINE
1Y26	71	1.163	2.772	+1.609	BASELINE
1Y27	66	0.866	1.310	+0.444	BASELINE
1Y39	58	5.645	6.003	+0.358	BASELINE
1YFG	75	3.514	3.946	+0.432	BASELINE
1YKV	38	11.942	11.976	+0.034	BASELINE
1YLG	31	1.837	2.916	+1.079	BASELINE
1YN1	17	1.008	0.969	-0.039	AWARE
1YN2	17	0.609	0.759	+0.150	BASELINE
1YNC	31	1.527	2.306	+0.779	BASELINE
1YNE	31	3.267	3.075	-0.192	AWARE
1YNG	31	1.386	1.395	+0.009	BASELINE
1YSH	101	9.601	12.253	+2.652	BASELINE
1Z2J	45	1.571	1.663	+0.092	BASELINE
1Z30	18	0.338	0.308	-0.030	AWARE
1Z31	32	0.800	0.805	+0.005	BASELINE
1Z43	101	1.510	1.718	+0.208	BASELINE
1ZBH	16	0.802	0.926	+0.124	BASELINE
1ZBN	28	2.991	3.300	+0.309	BASELINE
1ZC5	41	0.723	0.705	-0.018	AWARE
1ZHO	38	2.811	3.941	+1.130	BASELINE
1ZJW	74	5.351	5.391	+0.040	BASELINE
1ZO3	76	1.271	1.429	+0.158	BASELINE
1ZZN	197	6.356	8.286	+1.930	BASELINE
28SR	28	1.457	1.454	-0.003	AWARE
2A9L	38	4.947	5.724	+0.777	BASELINE
2A9X	28	2.109	2.042	-0.067	AWARE
2AB4	20	2.001	2.057	+0.056	BASELINE
2AHT	27	1.134	1.588	+0.454	BASELINE
2AKE	72	3.610	3.628	+0.018	BASELINE
2ANR	25	2.774	2.841	+0.067	BASELINE
2AU4	42	5.996	6.387	+0.391	BASELINE
2AZX	72	1.763	1.631	-0.132	AWARE
2B2D	9	2.549	2.606	+0.057	BASELINE
2B57	65	1.289	3.206	+1.917	BASELINE
2B63	31	3.191	3.493	+0.302	BASELINE
2B6G	19	0.941	0.880	-0.061	AWARE
2B7G	19	0.701	0.690	-0.011	AWARE
2B8S	23	2.844	3.389	+0.545	BASELINE
2BH2	30	9.738	7.308	-2.430	AWARE
2BS0	12	1.315	2.637	+1.322	BASELINE
2BTE	78	3.871	4.054	+0.183	BASELINE
2BYT	78	3.346	3.667	+0.321	BASELINE
2C50	14	2.836	2.796	-0.040	AWARE
2C51	15	1.739	1.728	-0.011	AWARE
2CD1	27	1.178	1.210	+0.032	BASELINE
2CD6	27	0.887	0.766	-0.121	AWARE
2CSX	75	3.489	3.471	-0.018	AWARE
2CT8	74	3.199	3.353	+0.154	BASELINE
2CV2	75	4.390	4.167	-0.223	AWARE
2CZJ	62	8.178	8.380	+0.202	BASELINE
2D1B	39	1.746	1.808	+0.062	BASELINE
2D6F	74	3.579	3.224	-0.355	AWARE
2DER	74	2.582	2.984	+0.402	BASELINE
2DET	70	2.294	3.228	+0.934	BASELINE
2DEU	75	9.944	10.671	+0.727	BASELINE
2DR2	75	4.043	4.017	-0.026	AWARE
2DR5	32	1.966	1.989	+0.023	BASELINE
2DR7	33	1.519	1.363	-0.156	AWARE
2DU3	71	2.923	3.120	+0.197	BASELINE
2DU4	71	2.924	2.963	+0.039	BASELINE
2DU5	71	2.831	2.995	+0.164	BASELINE
2DU6	71	2.789	2.926	+0.137	BASELINE
2DVI	34	2.015	1.901	-0.114	AWARE
2EES	68	1.307	1.840	+0.533	BASELINE
2EET	68	1.099	1.858	+0.759	BASELINE
2EEU	68	1.274	1.793	+0.519	BASELINE
2EEV	68	1.080	3.022	+1.942	BASELINE
2EEW	68	1.163	2.280	+1.117	BASELINE
2ES5	23	1.174	1.284	+0.110	BASELINE
2EUY	34	5.216	3.600	-1.616	AWARE
2EVY	14	0.769	0.682	-0.087	AWARE
2F87	12	0.340	0.331	-0.009	AWARE
2F88	34	1.729	1.771	+0.042	BASELINE
2FDT	36	1.001	1.358	+0.357	BASELINE
2FEY	43	2.143	2.930	+0.787	BASELINE
2FK6	53	2.722	4.665	+1.943	BASELINE
2FMT	77	3.078	3.102	+0.024	BASELINE
2FY1	21	2.142	2.258	+0.116	BASELINE
2G1G	17	2.296	2.716	+0.420	BASELINE
2GDI	78	2.464	2.490	+0.026	BASELINE
2GIO	29	0.410	0.569	+0.159	BASELINE
2GIP	28	0.495	0.522	+0.027	BASELINE
2GIS	95	2.851	2.850	-0.001	AWARE
2GO5	127	1.922	3.564	+1.642	BASELINE
2GRW	22	1.062	1.500	+0.438	BASELINE
2GV3	22	2.099	2.183	+0.084	BASELINE
2GV4	22	0.863	0.820	-0.043	AWARE
2GVO	18	0.805	0.708	-0.097	AWARE
2HEM	24	0.925	1.645	+0.720	BASELINE
2HGH	55	2.717	2.824	+0.107	BASELINE
2HNS	22	0.626	1.219	+0.593	BASELINE
2HO7	123	6.359	13.506	+7.147	BASELINE
2HOJ	79	3.032	8.846	+5.814	BASELINE
2HOK	78	7.424	7.292	-0.132	AWARE
2HOL	79	2.967	8.852	+5.885	BASELINE
2HOM	80	19.040	3.171	-15.869	AWARE
2HOO	83	3.384	3.600	+0.216	BASELINE
2HOP	76	7.278	3.524	-3.754	AWARE
2HUA	40	2.534	2.307	-0.227	AWARE
2HW8	36	3.041	3.445	+0.404	BASELINE
2I7E	43	2.459	2.651	+0.192	BASELINE
2I7Z	43	3.256	3.361	+0.105	BASELINE
2IHX	75	11.592	9.809	-1.783	AWARE
2IL9	135	36.704	37.278	+0.574	BASELINE
2IXY	27	1.046	1.369	+0.323	BASELINE
2IY5	76	4.050	4.189	+0.139	BASELINE
2IZ8	16	2.116	1.806	-0.310	AWARE
2IZM	13	1.296	2.120	+0.824	BASELINE
2IZN	15	2.481	2.664	+0.183	BASELINE
2JPP	20	2.773	2.729	-0.044	AWARE
2JQ7	58	5.201	5.416	+0.215	BASELINE
2JR4	17	0.534	0.549	+0.015	BASELINE
2JSE	22	1.275	1.497	+0.222	BASELINE
2JSG	17	0.992	1.018	+0.026	BASELINE
2JTP	34	1.916	2.401	+0.485	BASELINE
2JUK	22	1.143	1.241	+0.098	BASELINE
