RNA	length	pk_chars	rmsd_best
17RA	21	0	0.660
1A1T	20	0	1.445
1A4T	15	0	0.379
1A51	41	0	2.171
1A60	44	6	6.049
1A9L	38	0	5.542
1A9N	24	0	5.942
1AFX	12	0	0.874
1AJU	30	0	2.699
1AKX	30	0	1.781
1ANR	29	0	4.034
1AQ3	16	0	2.209
1AQ4	16	0	2.195
1AQO	29	0	2.226
1ARJ	29	0	4.712
1ASY	75	2	3.756
1ASZ	75	2	3.379
1ATO	19	0	1.114
1ATV	17	0	0.572
1ATW	15	0	1.846
1AUD	30	0	8.118
1B23	74	2	2.884
1B36	38	0	4.178
1BGZ	23	0	2.040
1BIV	28	0	2.538
1BN0	20	0	1.503
1BVJ	23	0	0.552
1BZ2	17	0	1.199
1BZ3	17	0	0.950
1C04	58	0	0.793
1C0A	77	2	2.767
1C0O	14	0	0.396
1C2X	120	0	10.147
1CQ5	43	0	2.584
1CQL	43	0	3.793
1D0T	21	0	1.993
1D0U	21	0	1.589
1D6K	37	0	3.057
1DRZ	72	16	1.975
1E7K	17	0	8.977
1E8O	49	6	2.721
1EBR	30	0	0.983
1EC6	20	0	3.043
1EFW	73	2	2.477
1EHT	34	0	3.457
1EI2	25	0	2.918
1EIY	76	2	4.218
1EKZ	30	0	2.827
1ESH	13	0	0.546
1ESY	19	0	1.548
1ETG	34	0	1.728
1EUQ	72	2	6.024
1EUY	73	2	5.238
1EXD	73	2	5.227
1EXY	33	0	2.899
1F1T	38	0	2.826
1F27	19	0	3.684
1F6U	19	0	2.997
1F79	27	0	1.412
1F7F	27	0	1.717
1F7H	27	0	3.603
1F7I	27	0	1.385
1F7U	76	2	5.528
1F7V	73	2	4.116
1F84	29	0	2.098
1F85	14	0	0.573
1F9L	22	0	0.940
1FCW	76	2	1.416
1FEQ	17	0	2.160
1FIR	76	2	1.744
1FJE	22	0	2.306
1FL8	17	0	2.482
1FMN	35	0	3.549
1FOQ	109	0	9.091
1FQZ	27	0	0.583
1FYO	27	0	1.330
1FYP	27	0	1.743
1G1X	44	0	18.395
1G59	75	2	4.420
1G70	32	0	3.406
1GAX	75	2	4.203
1GID	158	0	2.251
1H3E	83	2	2.117
1H4S	67	2	2.229
1HC8	58	0	0.769
1HJI	15	0	0.805
1HMH	34	0	11.391
1HR2	158	0	3.058
1HS1	13	0	0.266
1HS3	13	0	0.180
1HS4	13	0	0.152
1HS8	13	0	0.185
1HWQ	30	0	1.581
1I3X	19	0	0.601
1I3Y	19	0	1.044
1I46	13	0	0.431
1I4B	13	0	0.793
1I4C	13	0	5.494
1I6U	37	0	1.465
1I9F	34	0	2.238
1I9V	74	2	1.633
1IDV	10	0	0.816
1IE1	22	0	1.619
1IE2	22	0	1.617
1IKD	22	0	0.829
1IL2	75	2	3.563
1J1U	74	2	1.466
1J2B	77	0	9.036
1JBR	31	0	1.861
1JBT	29	0	1.888
1JO7	31	0	1.844
1JOX	21	0	2.172
1JP0	21	0	1.647
1JTJ	23	0	3.370
1JWC	16	0	2.820
1JZC	13	0	2.094
1K2G	22	0	1.335
1K4B	14	0	0.474
1K5I	23	0	1.050
1K6G	22	0	0.268
1K8W	22	0	2.207
1K9W	23	0	3.948
1KH6	48	0	5.939
1KIS	16	0	3.568
1KKA	17	0	2.727
1KKS	24	0	1.698
1KOG	37	0	3.813
1KP7	30	0	0.875
1KXK	70	0	6.072
1L1C	29	0	1.696
1L1W	29	0	0.659
1L8V	157	0	3.793
1L9A	126	0	4.317
1LDZ	30	0	3.102
1LNG	97	0	1.777
1LU3	17	0	0.691
1LUU	17	0	2.168
