RNA	Len	Boltz2_Best	Boltz2_Mean
1NBS	150	7.090	7.413
1P5P	77	4.234	4.716
1P5O	77	3.945	4.114
1G1X	44	18.744	19.155
1U9S	155	13.061	13.674
1HMH	34	14.135	14.776
3G8T	141	2.796	3.261
1A1T	20	2.128	2.180
1U6P	101	14.719	21.584
1XJR	47	2.563	7.114
1RMN	49	11.704	11.821
1M5V	92	9.454	10.501
1M5P	92	9.229	10.144
1M5K	92	9.619	10.677
1FOQ	109	13.329	18.679
1S9S	101	14.134	23.151
1C2X	120	10.176	10.248
1P6V	45	4.150	4.357
1KH6	48	13.119	13.273
1E7K	17	9.782	9.835
1J2B	77	9.501	9.576
1AUD	30	6.934	7.414
